id,symbol,name,current_price,market_cap,high_24h,low_24h
bitcoin,btc,Bitcoin,118002.0,2348053618782,119754.0,117998.0
ethereum,eth,Ethereum,3786.65,457034301190,3936.94,3786.74
ripple,xrp,XRP,3.16,187109453912,3.32,3.16
tether,usdt,Tether,0.999961,163588058514,1.0,0.999922
binancecoin,bnb,BNB,834.14,116179112159,858.34,797.1
solana,sol,Solana,187.65,100936281803,194.21,185.39
usd-coin,usdc,USDC,0.999784,64042497885,0.999907,0.999705
dogecoin,doge,Dogecoin,0.232613,34940382682,0.247676,0.232267
staked-ether,steth,Lido Staked Ether,3780.37,33941215527,3932.99,3783.23
tron,trx,TRON,0.323304,30622432755,0.326239,0.319361
cardano,ada,Cardano,0.805606,29125741652,0.853571,0.804262
hyperliquid,hype,Hyperliquid,44.93,14963849890,45.57,42.7
wrapped-bitcoin,wbtc,Wrapped Bitcoin,117917.0,14959265218,119690.0,117883.0
wrapped-steth,wsteth,Wrapped stETH,4581.04,14950731856,4759.39,4567.37
sui,sui,Sui,4.1,14147935267,4.43,4.1
stellar,xlm,Stellar,0.426366,13287211462,0.45236,0.425916
chainlink,link,Chainlink,18.48,12528563682,19.52,18.48
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,4066.35,12071535957,4225.86,4070.0
bitcoin-cash,bch,Bitcoin Cash,581.82,11576971579,604.99,577.64
hedera-hashgraph,hbar,Hedera,0.2729,11574158065,0.294597,0.273017
avalanche-2,avax,Avalanche,26.35,11122625434,27.27,24.92
wrapped-eeth,weeth,Wrapped eETH,4055.81,10622350226,4219.55,4058.92
weth,weth,WETH,3786.14,8689736042,3936.77,3789.33
litecoin,ltc,Litecoin,110.24,8390329154,116.24,110.22
leo-token,leo,LEO Token,8.96,8269796275,8.98,8.94
the-open-network,ton,Toncoin,3.31,8171534872,3.44,3.29
shiba-inu,shib,Shiba Inu,1.367e-05,8057505828,1.435e-05,1.367e-05
usds,usds,USDS,0.9996,7587852237,0.999965,0.999338
ethena-usde,usde,Ethena USDe,1.001,7570803480,1.002,0.999734
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.998884,6780121493,1.005,0.995447
whitebit,wbt,WhiteBIT Coin,44.22,6357087764,45.04,44.17
uniswap,uni,Uniswap,10.56,6336024213,11.16,10.55
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,117975.0,6292354281,119856.0,118032.0
polkadot,dot,Polkadot,4.09,6229931814,4.3,4.09
monero,xmr,Monero,325.48,6009203466,331.07,321.38
bitget-token,bgb,Bitget Token,4.61,5247295740,4.74,4.59
pepe,pepe,Pepe,1.236e-05,5200685446,1.31e-05,1.236e-05
crypto-com-chain,cro,Cronos,0.140252,4536519336,0.148477,0.138405
aave,aave,Aave,291.69,4433582904,308.66,291.71
ethena-staked-usde,susde,Ethena Staked USDe,1.18,4337934976,1.19,1.18
ethena,ena,Ethena,0.649637,4128273938,0.69511,0.61869
bittensor,tao,Bittensor,411.66,3914150276,437.69,411.11
dai,dai,Dai,0.999633,3764834289,1.0,0.999494
near,near,NEAR Protocol,2.84,3518507129,3.01,2.84
pi-network,pi,Pi Network,0.445546,3449783782,0.469669,0.441536
ethereum-classic,etc,Ethereum Classic,22.25,3401634599,23.68,22.25
ondo-finance,ondo,Ondo,1.007,3182860807,1.081,1.008
internet-computer,icp,Internet Computer,5.68,3045590684,5.99,5.68
aptos,apt,Aptos,4.74,3014861708,4.97,4.74
jito-staked-sol,jitosol,Jito Staked SOL,228.73,2984800368,237.78,225.92
okb,okb,OKB,48.72,2923326872,49.99,48.1
bonk,bonk,Bonk,3.549e-05,2747794032,3.657e-05,3.282e-05
mantle,mnt,Mantle,0.80191,2698572795,0.835599,0.799969
kaspa,kas,Kaspa,0.100016,2635205367,0.106983,0.100079
pudgy-penguins,pengu,Pudgy Penguins,0.04159191,2612585819,0.04536637,0.04158989
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2413242321,1.0,1.0
algorand,algo,Algorand,0.270883,2351333414,0.287488,0.270636
arbitrum,arb,Arbitrum,0.448132,2308359490,0.477379,0.447164
binance-peg-weth,weth,Binance-Peg WETH,3780.92,2288707387,3938.18,3779.51
cosmos,atom,Cosmos Hub,4.8,2211034725,4.93,4.77
usd1-wlfi,usd1,USD1,1.0,2206625630,1.003,0.99936
vechain,vet,VeChain,0.02528124,2174101392,0.02665405,0.02527854
render-token,render,Render,4.19,2173882136,4.43,4.19
gatechain-token,gt,Gate,17.96,2146444558,18.47,17.73
polygon-ecosystem-token,pol,POL (ex-MATIC),0.232076,2094276832,0.244456,0.23202
worldcoin-wld,wld,Worldcoin,1.16,2092257199,1.23,1.16
spx6900,spx,SPX6900,2.21,2053000163,2.27,2.04
official-trump,trump,Official Trump,9.93,1986918311,10.49,9.92
fasttoken,ftn,Fasttoken,4.6,1981695288,4.6,4.58
sky,sky,Sky,0.092894,1977426640,0.099609,0.093056
sei-network,sei,Sei,0.330322,1910286910,0.353521,0.329939
fetch-ai,fet,Artificial Superintelligence Alliance,0.729238,1899775966,0.782243,0.729794
binance-staked-sol,bnsol,Binance Staked SOL,199.72,1871190510,206.74,197.38
filecoin,fil,Filecoin,2.68,1832003303,2.8,2.68
quant-network,qnt,Quant,124.21,1808215389,132.77,124.35
rocket-pool-eth,reth,Rocket Pool ETH,4309.07,1780963027,4497.19,4307.98
jupiter-exchange-solana,jup,Jupiter,0.579252,1738446342,0.621295,0.569019
flare-networks,flr,Flare,0.02421619,1688906047,0.02525825,0.02421181
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3968.74,1686934351,4130.82,3967.59
lombard-staked-btc,lbtc,Lombard Staked BTC,118021.0,1683596544,119805.0,117852.0
story-2,ip,Story,5.7,1682067057,6.0,5.38
susds,susds,sUSDS,1.061,1648713058,1.061,1.061
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,5.11,1643718502,5.18,5.08
injective-protocol,inj,Injective,15.21,1487717082,16.3,15.11
xdce-crowd-sale,xdc,XDC Network,0.091562,1485678992,0.092943,0.088594
kucoin-shares,kcs,KuCoin,11.46,1460256112,11.68,11.45
usdtb,usdtb,USDtb,0.999767,1446175248,1.0,0.999322
celestia,tia,Celestia,1.97,1427370301,2.11,1.97
stakewise-v3-oseth,oseth,StakeWise Staked ETH,3977.94,1427178444,4124.74,3976.75
mantle-staked-ether,meth,Mantle Staked Ether,4061.33,1400324214,4208.32,4056.55
optimism,op,Optimism,0.78988,1384581609,0.860711,0.723287
liquid-staked-ethereum,lseth,Liquid Staked ETH,4089.76,1377743262,4253.22,4085.22
first-digital-usd,fdusd,First Digital USD,0.998833,1372249030,1.005,0.992545
curve-dao-token,crv,Curve DAO,0.994378,1371582443,1.071,0.990767
usdt0,usdt0,USDT0,0.999099,1363264328,1.002,0.997997
fartcoin,fartcoin,Fartcoin,1.33,1324973809,1.42,1.31
nexo,nexo,NEXO,1.32,1318183748,1.33,1.31
blockstack,stx,Stacks,0.816043,1295475902,0.86943,0.816412
renzo-restaked-eth,ezeth,Renzo Restaked ETH,3982.44,1258533310,4137.24,3985.97
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),0.999864,1236671552,1.0,0.999789
floki,floki,FLOKI,0.00012548,1212570271,0.0001339,0.00012551
jupiter-staked-sol,jupsol,Jupiter Staked SOL,211.35,1123400763,219.44,208.55
wbnb,wbnb,Wrapped BNB,832.61,1095736698,858.29,797.3
immutable-x,imx,Immutable,0.577844,1093018679,0.60913,0.576537
solv-btc,solvbtc,Solv Protocol BTC,118007.0,1089686398,120292.0,117776.0
dogwifcoin,wif,dogwifhat,1.089,1087528357,1.17,1.079
the-graph,grt,The Graph,0.106564,1054600884,0.112426,0.106466
sonic-3,s,Sonic,0.325809,1048995128,0.345344,0.325496
pancakeswap-token,cake,PancakeSwap,2.99,1031404029,3.3,2.81
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.998955,997962917,1.005,0.995294
virtual-protocol,virtual,Virtuals Protocol,1.5,981351032,1.62,1.5
lido-dao,ldo,Lido DAO,1.093,980930595,1.19,1.094
msol,msol,Marinade Staked SOL,246.01,969544738,255.47,243.05
ethereum-name-service,ens,Ethereum Name Service,29.14,962769784,31.71,29.06
pump-fun,pump,Pump.fun,0.00271482,962097525,0.00287382,0.0026118
kaia,kaia,Kaia,0.164277,962050031,0.170742,0.164359
falcon-finance,usdf,Falcon USD,0.999461,954367808,0.999911,0.999183
ether-fi-staked-eth,eeth,ether.fi Staked ETH,3774.96,949561382,3928.52,3767.21
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),117622.0,940379770,119745.0,117751.0
saros-finance,saros,Saros,0.357892,939437552,0.35993,0.345887
pax-gold,paxg,PAX Gold,3318.53,934900640,3356.77,3315.45
conflux-token,cfx,Conflux,0.183385,931300800,0.196141,0.182222
paypal-usd,pyusd,PayPal USD,1.0,920131438,1.001,0.999234
